      1       0 root                 /usr/lib/systemd/systemd --  0.1  0.0 15104
   7570    6333 quantium             /usr/libexec/goa-identity-s  0.0  0.0  8704
   7643    6333 quantium             /usr/libexec/gvfs-mtp-volum  0.0  0.0  6656
   7646    6333 quantium             /usr/libexec/evolution-cale  0.0  0.0 23808
   7655    6333 quantium             /usr/libexec/gvfs-gphoto2-v  0.0  0.0  7040
   7677    6333 quantium             /usr/libexec/gvfs-afc-volum  0.0  0.0  7808
   7687    6333 quantium             /usr/libexec/gvfs-goa-volum  0.0  0.0  7168
   7702    6333 quantium             /usr/libexec/evolution-addr  0.0  0.0 29696
   7734    6333 quantium             /usr/bin/gjs -m /usr/share/  0.0  0.0 27100
   7760    7357 quantium             /usr/libexec/ibus-engine-si  0.0  0.0  7040
   7770    6333 quantium             /usr/libexec/tracker-miner-  0.1  0.1 51660
   7781    7125 quantium             /usr/libexec/gvfsd-trash --  0.0  0.0  8960
   7868    6333 quantium             /usr/libexec/xdg-desktop-po  0.0  0.0 13668
   7876    6333 quantium             /usr/libexec/xdg-desktop-po  0.0  0.3 124324
   7913    6333 quantium             /usr/libexec/xdg-desktop-po  0.0  0.0 26136
   7973       1 root                 /usr/libexec/fwupd/fwupd     0.0  0.1 44332
   7993    7179 quantium             gjs /usr/share/gnome-shell/  0.0  0.1 61792
   8084    6333 quantium             /usr/libexec/gvfsd-metadata  0.0  0.0  6272
   9287    7179 quantium             /usr/bin/warp-terminal       4.5  2.0 676184
   9299    9287 quantium             /opt/warpdotdev/warp-termin  0.0  0.0 22912
   9300    9287 quantium             /opt/warpdotdev/warp-termin  0.0  0.0 22612
   9516    9287 quantium             [ps] <defunct>               0.0  0.0     0
   9582    9299 quantium             bash --rcfile /dev/fd/63     0.0  0.0  6144
   9586    5775 root                 local-path-provisioner --de  0.0  0.0 26236
   9807    6333 quantium             /opt/warpdotdev/warp-termin  0.0  0.0  3968
   9893    7136 quantium             /usr/bin/update-notifier     0.0  0.0 31672
   9945    9299 quantium             bash --rcfile /dev/fd/63     0.0  0.0  6400
  13459       2 root                 [psimon]                     0.0  0.0     0
  14241    7179 quantium             /tmp/.mount_cursoriAGpGP/us  0.9  0.8 281460
  14247    6333 quantium             /opt/cursor.AppImage --no-s  0.2  0.0  3076
  14258   14241 quantium             /tmp/.mount_cursoriAGpGP/us  0.0  0.3 98684
  14259   14241 quantium             /tmp/.mount_cursoriAGpGP/us  0.0  0.3 98816
  14278    6333 quantium             /tmp/.mount_cursoriAGpGP/us  0.0  0.0  3200
  14293   14241 quantium             /tmp/.mount_cursoriAGpGP/us  1.8  0.5 183456
  14298   14241 quantium             /tmp/.mount_cursoriAGpGP/us  0.0  0.3 122756
  14339   14259 quantium             /tmp/.mount_cursoriAGpGP/us  3.6  1.7 560616
  14345   14259 quantium             /tmp/.mount_cursoriAGpGP/us  1.5  1.2 412060
  14352   14259 quantium             /tmp/.mount_cursoriAGpGP/us  1.2  1.2 412288
  14364   14259 quantium             /tmp/.mount_cursoriAGpGP/us  1.6  1.0 345716
  14430   14241 quantium             /tmp/.mount_cursoriAGpGP/us  1.0  1.0 357464
